Name,University,Place,Date,Type
Nouvelles technologies de l’information et de la communication,Université de Genève,"Geneva ,
Switzerland",3 Sept recurring,Bachelor Programme
Digitale Methoden in den Altertumswissenschaften - Digital ...,Humbold Universität Berlin,"Berlin,
Germany",,Module
Laboratorio di informatica specialistica per Scienze dell'a ...,University of Palermo,"Palermo,
Italy",1 Mar recurring,Course
Digital Humanities,University of Oulu,"Oulu,
Finland",2 Sept recurring,Course
Digital Collection Management (low-residency certified program),Danube University Krems,"Krems,
Austria",1 Oct recurring,Module
"Culture, Communication and Media Studies",Universityy of KwaZulu-Natal,"Durban,
South Africa",6 Feb recurring,PhD Programme
Computerized processing and text analysis II,Université de Lausanne,"Lausanne,
Switzerland",2 Feb recurring,Bachelor Programme
Computerized text processing and analysis I,Université de Lausanne,"Lausanne,
Switzerland",3 Sept recurring,Bachelor Programme
M.Sc. European Masters Program Language and Communication T ...,Universität des Saarlandes,"Saarbrücken,
Germany",6 Oct recurring,Master Programme
"""Culture & Technology"" - The European Summer University in ...",Universität Leipzig,"Leipzig,
Germany",2 July recurring,Summer School
Language Analysis and Processing,University of the Basque Country,"Lejona,
Spain",,Master Programme
Media Culture,Universiteit Maastricht,"Maastricht,
Netherlands",4 Sept recurring,Master Programme
MA Linguistic Diversity in the Digital Age,University of Helsinki,"Helsinki,
Finland",4 Aug recurring,Master Programme
Digital Literary Studies,Universiteit Gent,"Gent,
Belgium",5 Feb recurring,Bachelor Programme
Digitale Geistes- und Sozialwissenschaften,Friedrich-Alexander-Universität Erlangen-Nürnberg,"Erlangen,
Germany",6 Oct recurring,Bachelor Programme
Digital Humanities,Friedrich-Alexander-Universität Erlangen-Nürnberg,"Erlangen,
Germany",4 Oct recurring,Master Programme
Digital publishing,Université de Lausanne,"Lausanne,
Switzerland",5 Sept recurring,Bachelor Programme
Internet Programming II - Meteor.js,Université de Lausanne,"Lausanne,
Switzerland",3 Feb recurring,Bachelor Programme
Internet Programming I - Javascript,Université de Lausanne,"Lausanne,
Switzerland",3 Sept recurring,Bachelor Programme
NetLab/DIGHUMLAB PhD Workshop in Web Archiving - January 2020,Aarhus University,"Aarhus,
Denmark",,Course
"Masterstudium ""Digitale Geisteswissenschaften"" (Master Prog ...",Karl-Franzens-Universität Graz,"Graz,
Austria",1 Oct recurring,Master Programme
Digital Landscape and Settlement Archaeology in Ancient Rome,Universität Wien,"Vienna,
Austria",,Course
Instructional Excavation: Molino San Vincenzo,Universität Wien,"Vienna,
Austria",,Course
#excavation—Digital Methods and Applications at Excavations,Universität Wien,"Vienna,
Austria",2 Oct recurring,Course
HUMN 100-01 The Humanities Now!,Bucknell University,"Lewisburg,
United States of America",1 Aug recurring,Course
Minor in Digital Humanities,Bucknell University,"Lewisburg,
United States of America",3 Aug recurring,Bachelor Programme
HUMN 272 Data Visualization for DH,Bucknell University,"Lewisburg,
United States of America",1 Jan recurring,Course
Minor in Digital Humanities,Bucknell University,"Lewisburg,
United States of America",3 Aug recurring,Bachelor Programme
Swiss DH Summer School,Swiss Academy of Humanities and Social Sciences SAHS,"Bern,
Switzerland",,PhD Programme
Computational Arts and Humanities,Siberian Federal University,"Krasnoyarsk,
Russian Federation",6 Sept recurring,Master Programme
